sample_id,sample_amt,type,station,season,date,tod,julian_day,time,ctd_cast,bottle,light_depth,depth,volume,lat,lon,province_no,province_name,province_code,sigma_theta,pressure,temperature,conductivity,salinity,oxygen,transmission,attenuance,fluorescence,par,nitrite,nitrate_nitrite,nitrate,silicate,phosphate
B-100,1NR1081,RNA,STN8,Spring,Nov 2 2015,NOON,306,16:42:06,81,9,1,60,6.5,-49.77653,-54.50911,21,SW Atlantic Shelves,FKLD,26.9732,60.663,4.84845,3.2565645,34.0922,298.905,90.8887,0.3821,0.2137,5.3996,NA,20.23,NA,5.8,1.37
B-10,55DR2012,DNA,STN2,Autumn,Sep 24 2015,DAWN,267,04:35:55,12,20,55,12,8.5,37.68873,-25.05884,45,N Atlantic Subtropical Gyral E,NASTE,24.98855,12.831,22.87495,5.2598765,36.34165,208.117,92.192,0.3252,0.0473,0.21854,0.01,0.02,0.01,0.81,0.02
B-11,1DR2012,DNA,STN2,Autumn,Sep 24 2015,DAWN,267,04:28:26,12,11,1,90,9.35,37.68873,-25.05884,45,N Atlantic Subtropical Gyral E,NASTE,26.50415,91.43,16.49125,4.5706695,36.1272,220.128,92.1821,0.3256,0.2521,1.00E-12,0.12,2.07,1.95,1.2,0.12
B-12,97NR1013,DNA,STN2,Autumn,Sep 24 2015,NOON,267,13:43:39,13,23,97,2,9,37.50581,-26.65652,45,N Atlantic Subtropical Gyral E,NASTE,24.7924,2.411,22.8078,5.2158985,36.05865,207.94,92.1045,0.329,0.031,1084.9,0.01,0.02,0.01,0.63,0.02
B-13,55NR1013,DNA,STN2,Autumn,Sep 24 2015,NOON,267,13:41:06,13,20,55,10,8,37.50581,-26.65652,45,N Atlantic Subtropical Gyral E,NASTE,24.8173,10.432,22.67645,5.200077,36.04095,208.744,92.1155,0.3285,0.0376,571.39,0.01,0.02,0.01,0.65,0.02
B-14,1NR1013,DNA,STN2,Autumn,Sep 24 2015,NOON,267,13:41:06,13,8 9,1,77,14,37.50581,-26.65652,45,N Atlantic Subtropical Gyral E,NASTE,24.8173,77.607,15.52075,4.45584225,35.987625,215.8485,92.58875,0.308,0.1234,6.53825,0.06,4.06,4,1.63,0.24
B-15,97DR2021,DNA,STN3,ST/ Autumn,Sep 30 2015,DAWN,273,05:35:07,21,24,97,2,7.35,31.15096,-40.91797,46,N Atlantic Subtropical Gyral W,NASTW,24.5721,4.418,25.8897,5.672265,36.9921,196.778,92.2082,0.3245,0.0208,1.0916,0.01,0.02,0.01,0.64,0.02
B-16,55DR2021,DNA,STN3,ST/ Autumn,Sep 30 2015,DAWN,273,05:33:45,21,21,55,15,6.7,31.15096,-40.91797,46,N Atlantic Subtropical Gyral W,NASTW,24.57255,17.305,25.8914,5.673036,36.9922,195.349,92.1549,0.3268,0.0278,0.17144,0.01,0.02,0.01,0.66,0.02
B-17,1DR1021,DNA,STN3,ST/ Autumn,Sep 30 2015,DAWN,273,05:25:43,21,13,1,120,9.3,31.15096,-40.91797,46,N Atlantic Subtropical Gyral W,NASTW,26.1082,117.572,19.54965,4.9442285,36.60095,209.776,92.1586,0.3267,0.1872,1.00E-12,0.06,0.28,0.22,0.8,0.02
B-18,97NR2022,DNA,STN3,ST/ Autumn,Sep 30 2015,NOON,273,13:40:49,22,23,97,2,9.9,30.10053,-41.93918,46,N Atlantic Subtropical Gyral W,NASTW,24.4844,3.683,26.5191,5.761846,37.1393,193.835,92.2595,0.3223,0.0198,585.7,0.01,0.02,0.01,0.65,0.02
B-19,55NR1022,DNA,STN3,ST/ Autumn,Sep 30 2015,NOON,273,13:38:40,22,21,55,16,8.15,30.10053,-41.93918,46,N Atlantic Subtropical Gyral W,NASTW,24.4834,16.393,26.52345,5.762792,37.13855,194.369,92.2632,0.3221,0.0158,248.31,0.01,0.02,0.01,0.65,0.02
B-1,E12MR1,DNA,E1,Autumn,Sep 18 2015,DAY,261,08:14:42,1,23,NA,2,2.5,50.03336,-4.36532,15,NE Atlantic Shelf,NECS,26.16165,4.051,15.4955,4.3712675,35.27555,249.497,64.9053,1.729,2.2399,115.44,0.02,0.02,0,1.33,0.04
B-20,1NR2022,DNA,STN3,ST/ Autumn,Sep 30 2015,NOON,273,13:29:17,22,13,1,120,9,30.10053,-41.93918,46,N Atlantic Subtropical Gyral W,NASTW,25.999,121.894,20.9084,5.1292525,36.9344,214.922,92.2366,0.3232,0.1065,4.0595,0.01,0.02,0.01,0.63,0.02
B-21,97DR1033,DNA,STN4,Tropics,Oct 6 2015,DAWN,279,04:36:30,33,24,97,2,6.5,17.1778,-26.45577,34,N Atlantic Tropical Gyral,NATR,23.588,3.01,27.679,5.7932285,36.4462,189.781,91.6102,0.3505,0.0606,1.2918,0.01,0.02,0.01,0.48,0.04
B-22,55DR2033,DNA,STN4,Tropics,Oct 6 2015,DAWN,279,04:34:09,33,19,55,10,6.5,17.1778,-26.45577,34,N Atlantic Tropical Gyral,NATR,23.59595,10.734,27.68285,5.7956055,36.45765,189.968,91.7112,0.3461,0.0659,0.236,0.01,0.02,0.01,0.49,0.04
B-23,1DR1033,DNA,STN4,Tropics,Oct 6 2015,DAWN,279,04:23:50,33,8,1,70,8.75,17.1778,-26.45577,34,N Atlantic Tropical Gyral,NATR,26.0899,70.844,19.5038,4.9329005,36.5643,154.207,91.7667,0.3437,0.2752,1.00E-12,0.31,8.63,8.32,2.09,0.57
B-24,97NR1034,DNA,STN4,Tropics,Oct 6 2015,NOON,279,13:45:39,34,24,97,2,7.5,16.43292,-25.54977,34,N Atlantic Tropical Gyral,NATR,23.2865,3.357,28.3312,5.848318,36.3303,189.685,91.5086,0.3549,0.0505,1106.9,0.01,0.02,0.01,0.57,0.02
B-25,55NR1034,DNA,STN4,Tropics,Oct 6 2015,NOON,279,13:41:19,34,19,55,8,7.5,16.43292,-25.54977,34,N Atlantic Tropical Gyral,NATR,23.30345,8.134,28.27895,5.842653,36.3293,189.612,91.3894,0.3602,0.0317,762.57,0.01,0.02,0.01,0.55,0.02
B-26,1NR1034,DNA,STN4,Tropics,Oct 6 2015,NOON,279,13:31:19,34,11,1,55,8,16.43292,-25.54977,34,N Atlantic Tropical Gyral,NATR,25.1184,55.429,22.45505,5.2181505,36.35055,210.23,91.0213,0.3763,0.2331,30.443,0.02,0.08,0.06,1.16,0.14
B-27,97DR1042,DNA,STN5,Tropics,Oct 11 2015,DAWN,284,04:37:10,42,24,97,2,8.85,1.93294,-18.43231,31,Eastern Tropical Atlantic,ETRA,23.3421,3.127,27.0497,5.6412115,35.8495,190.384,92.1489,0.3271,0.033,0.79316,NA,NA,NA,NA,NA
